session_key,Date,Workout Name,Duration,Exercise_Name,Equipment,Set_Order,Weight,Reps,Distance,Seconds,Notes,Workout_Notes,RPE
15,2024-06-15 20:55:20,Legs,1h 5m,Lying Leg Raise,Body Weight,10,0,12,0,0,,,
16,2024-06-21 22:24:45,Day 2: Full Body Calisthenics [and MMA] Copy,1h 6m,Push-up,Body Weight,1,0,12,0,0,,,
16,2024-06-21 22:24:45,Day 2: Full Body Calisthenics [and MMA] Copy,1h 6m,Push-up,Body Weight,2,0,12,0,0,,,
16,2024-06-21 22:24:45,Day 2: Full Body Calisthenics [and MMA] Copy,1h 6m,Push-up,Body Weight,3,0,25,0,0,,,
16,2024-06-21 22:24:45,Day 2: Full Body Calisthenics [and MMA] Copy,1h 6m,Push-up,Body Weight,4,0,12,0,0,,,
16,2024-06-21 22:24:45,Day 2: Full Body Calisthenics [and MMA] Copy,1h 6m,Push-up,Body Weight,5,0,12,0,0,,,
16,2024-06-21 22:24:45,Day 2: Full Body Calisthenics [and MMA] Copy,1h 6m,Squat,Body Weight,6,0,20,0,0,,,
16,2024-06-21 22:24:45,Day 2: Full Body Calisthenics [and MMA] Copy,1h 6m,Squat,Body Weight,7,0,20,0,0,,,
16,2024-06-21 22:24:45,Day 2: Full Body Calisthenics [and MMA] Copy,1h 6m,Squat,Body Weight,8,0,20,0,0,,,
16,2024-06-21 22:24:45,Day 2: Full Body Calisthenics [and MMA] Copy,1h 6m,Squat,Body Weight,9,0,20,0,0,,,
16,2024-06-21 22:24:45,Day 2: Full Body Calisthenics [and MMA] Copy,1h 6m,Lunge,Body Weight,10,0,5,0,0,5 each leg,,
16,2024-06-21 22:24:45,Day 2: Full Body Calisthenics [and MMA] Copy,1h 6m,Bench Dip,Body Weight,11,0,12,0,0,,,
16,2024-06-21 22:24:45,Day 2: Full Body Calisthenics [and MMA] Copy,1h 6m,Bench Dip,Body Weight,12,0,12,0,0,,,
16,2024-06-21 22:24:45,Day 2: Full Body Calisthenics [and MMA] Copy,1h 6m,Bench Dip,Body Weight,13,0,12,0,0,,,
16,2024-06-21 22:24:45,Day 2: Full Body Calisthenics [and MMA] Copy,1h 6m,Bench Dip,Body Weight,14,0,12,0,0,,,
16,2024-06-21 22:24:45,Day 2: Full Body Calisthenics [and MMA] Copy,1h 6m,Roman Chair Sit-up,Body Weight,15,0,12,0,0,,,
16,2024-06-21 22:24:45,Day 2: Full Body Calisthenics [and MMA] Copy,1h 6m,Roman Chair Sit-up,Body Weight,16,0,12,0,0,,,
16,2024-06-21 22:24:45,Day 2: Full Body Calisthenics [and MMA] Copy,1h 6m,Roman Chair Sit-up,Body Weight,17,0,12,0,0,,,
17,2024-06-25 20:59:55,Back and Biceps,2h 25m,Straight-leg Deadlift,Barbell,1,135,12,0,0,,,
17,2024-06-25 20:59:55,Back and Biceps,2h 25m,Straight-leg Deadlift,Barbell,2,145,12,0,0,,,
17,2024-06-25 20:59:55,Back and Biceps,2h 25m,Straight-leg Deadlift,Barbell,3,155,12,0,0,,,
17,2024-06-25 20:59:55,Back and Biceps,2h 25m,Seated Row,Cable,4,140,12,0,0,,,
17,2024-06-25 20:59:55,Back and Biceps,2h 25m,Seated Row,Cable,5,150,12,0,0,,,
17,2024-06-25 20:59:55,Back and Biceps,2h 25m,Seated Row,Cable,6,160,12,0,0,,,
17,2024-06-25 20:59:55,Back and Biceps,2h 25m,Drums,,7,0,0,0,1200,,,
17,2024-06-25 20:59:55,Back and Biceps,2h 25m,"Pulldown	",Cable,8,85,12,0,0,Trash reps 100lbs\nTrash reps 115,,
17,2024-06-25 20:59:55,Back and Biceps,2h 25m,"Pulldown	",Cable,9,100,12,0,0,,,
17,2024-06-25 20:59:55,Back and Biceps,2h 25m,"Pulldown	",Cable,10,115,12,0,0,,,
17,2024-06-25 20:59:55,Back and Biceps,2h 25m,Curl,Dumbbell,11,25,12,0,0,"Unrushed good, clean reps",,
17,2024-06-25 20:59:55,Back and Biceps,2h 25m,Curl,Dumbbell,12,25,12,0,0,,,
17,2024-06-25 20:59:55,Back and Biceps,2h 25m,Curl,Dumbbell,13,25,12,0,0,,,
18,2024-06-28 20:37:54,Chest and Triceps,2h 29m,Bench Press,Barbell,1,135,8,0,0,,,
18,2024-06-28 20:37:54,Chest and Triceps,2h 29m,Bench Press,Barbell,2,135,8,0,0,,,
18,2024-06-28 20:37:54,Chest and Triceps,2h 29m,Bench Press,Barbell,3,135,6,0,0,,,
18,2024-06-28 20:37:54,Chest and Triceps,2h 29m,Incline Bench Press,Dumbbell,4,30,12,0,0,40 each arm,,
18,2024-06-28 20:37:54,Chest and Triceps,2h 29m,Incline Bench Press,Dumbbell,5,40,10,0,0,,,
18,2024-06-28 20:37:54,Chest and Triceps,2h 29m,Incline Bench Press,Dumbbell,6,45,3,0,0,,,
18,2024-06-28 20:37:54,Chest and Triceps,2h 29m,Incline Bench Press,Dumbbell,7,45,2,0,0,,,
